Timestamp,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
2025-06-13 18:36:48.372,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:36:48.407,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:36:48.457,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:36:48.494,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:36:48.528,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:36:48.575,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:36:48.608,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:37:24.844,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:37:25.855,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:37:26.776,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:37:26.958,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:37:27.147,68,-33,0,68,-33,0,84,-33,0,84,-33,0
2025-06-13 18:37:28.231,68,-33,0,68,-33,0,84,-33,0,84,-33,-2
2025-06-13 18:37:28.269,68,-33,0,68,-33,0,84,-33,0,84,-33,-4
2025-06-13 18:37:28.318,68,-33,0,68,-33,0,84,-33,0,84,-33,-15
2025-06-13 18:37:28.351,68,-33,0,68,-33,0,84,-33,0,84,-33,-22
2025-06-13 18:37:28.399,68,-33,0,68,-33,0,84,-33,0,84,-33,-24
2025-06-13 18:37:28.432,68,-33,0,68,-33,0,84,-33,0,84,-33,-28
2025-06-13 18:37:28.481,68,-33,0,68,-33,0,84,-33,0,84,-33,-30
2025-06-13 18:37:28.516,68,-33,0,68,-33,0,84,-33,0,84,-33,-32
2025-06-13 18:37:28.567,68,-33,0,68,-33,0,84,-33,0,84,-33,-33
2025-06-13 18:37:28.601,68,-33,0,68,-33,0,84,-33,0,84,-33,-34
2025-06-13 18:37:28.838,68,-33,0,68,-33,0,84,-33,0,84,-33,-33
2025-06-13 18:37:28.899,68,-33,0,68,-33,0,84,-33,0,84,-33,-32
2025-06-13 18:37:28.935,68,-33,0,68,-33,0,84,-33,0,84,-33,-31
2025-06-13 18:37:29.001,68,-33,0,68,-33,0,84,-33,0,84,-33,-30
2025-06-13 18:37:29.034,68,-33,0,68,-33,0,84,-33,0,84,-33,-29
2025-06-13 18:37:29.082,68,-33,0,68,-33,0,84,-33,0,84,-33,-27
2025-06-13 18:37:29.115,68,-33,0,68,-33,0,84,-33,0,84,-33,-25
2025-06-13 18:37:29.165,68,-33,0,68,-33,0,84,-33,0,84,-33,-19
2025-06-13 18:37:29.199,68,-33,0,68,-33,0,84,-33,0,84,-33,-16
2025-06-13 18:37:29.250,68,-33,0,68,-33,0,84,-33,0,84,-33,-11
2025-06-13 18:37:29.284,68,-33,0,68,-33,0,84,-33,0,84,-33,-6
2025-06-13 18:37:29.332,68,-33,0,68,-33,0,84,-33,0,84,-33,-3
2025-06-13 18:37:29.365,68,-33,0,68,-33,0,84,-33,0,84,-33,-1
2025-06-13 18:37:29.417,68,-33,0,68,-33,0,84,-33,0,84,-33,1
2025-06-13 18:37:29.451,68,-33,0,68,-33,0,84,-33,0,84,-33,4
2025-06-13 18:37:29.484,68,-33,0,68,-33,0,84,-33,0,84,-33,5
2025-06-13 18:37:29.532,68,-33,0,68,-33,0,84,-33,0,84,-33,10
2025-06-13 18:37:29.565,68,-33,0,68,-33,0,84,-33,0,84,-33,16
2025-06-13 18:37:29.617,68,-33,0,68,-33,0,84,-33,0,84,-33,17
2025-06-13 18:37:29.651,68,-33,0,68,-33,0,84,-33,0,84,-33,18
2025-06-13 18:37:29.699,68,-33,0,68,-33,0,84,-33,0,84,-33,20
